Id,Sex,PopNum,Population,GOL,NOL,BNL
707,F,6,ZULU,179,179,92
708,F,6,ZULU,175,174,106
709,F,6,ZULU,179,178,97
710,F,6,ZULU,177,180,105
711,F,6,ZULU,186,184,100
712,F,6,ZULU,173,172,96
713,F,6,ZULU,182,180,100
714,F,6,ZULU,181,181,97
715,F,6,ZULU,172,172,94
716,M,23,BUSHMAN,182,180,98
717,M,23,BUSHMAN,179,176,96
718,M,23,BUSHMAN,186,184,98
719,M,23,BUSHMAN,182,177,88
720,M,23,BUSHMAN,180,177,96
721,M,23,BUSHMAN,180,180,97
722,M,23,BUSHMAN,173,170,92
723,M,23,BUSHMAN,178,176,90
724,M,23,BUSHMAN,168,166,92
725,M,23,BUSHMAN,176,173,92
726,M,23,BUSHMAN,188,184,102
727,M,23,BUSHMAN,191,188,96
728,M,23,BUSHMAN,171,170,90
729,M,23,BUSHMAN,184,182,101
730,M,23,BUSHMAN,191,190,103
731,M,23,BUSHMAN,181,179,103
732,M,23,BUSHMAN,174,174,90
733,M,23,BUSHMAN,181,176,93
734,M,23,BUSHMAN,176,175,87
735,M,23,BUSHMAN,174,171,96
736,M,23,BUSHMAN,179,177,92
737,M,23,BUSHMAN,177,175,89
738,M,23,BUSHMAN,178,176,99
739,M,23,BUSHMAN,181,179,91
740,M,23,BUSHMAN,186,184,104
741,M,23,BUSHMAN,168,166,93
742,M,23,BUSHMAN,180,178,101
743,M,23,BUSHMAN,183,180,97
744,M,23,BUSHMAN,178,177,96
746,M,23,BUSHMAN,178,174,97
747,M,23,BUSHMAN,172,170,93
748,M,23,BUSHMAN,170,170,93
749,M,23,BUSHMAN,164,161,92
750,M,23,BUSHMAN,172,170,93
751,M,23,BUSHMAN,177,173,87
752,M,23,BUSHMAN,172,169,90
753,M,23,BUSHMAN,185,182,98
754,F,23,BUSHMAN,174,173,91
755,F,23,BUSHMAN,178,177,92
756,F,23,BUSHMAN,179,178,95
757,F,23,BUSHMAN,180,180,98
758,F,23,BUSHMAN,170,168,88
759,F,23,BUSHMAN,167,165,86
760,F,23,BUSHMAN,167,165,89
761,F,23,BUSHMAN,175,173,92
762,F,23,BUSHMAN,173,170,86
764,F,23,BUSHMAN,167,164,90
765,F,23,BUSHMAN,170,168,90
766,F,23,BUSHMAN,180,177,96
767,F,23,BUSHMAN,171,170,85
768,F,23,BUSHMAN,179,179,96
769,F,23,BUSHMAN,175,172,93
770,F,23,BUSHMAN,162,161,89
771,F,23,BUSHMAN,169,168,92
772,F,23,BUSHMAN,163,161,96
773,F,23,BUSHMAN,171,170,92
774,F,23,BUSHMAN,168,167,94
775,F,23,BUSHMAN,164,163,86
776,F,23,BUSHMAN,166,164,89
777,F,23,BUSHMAN,161,160,84
778,F,23,BUSHMAN,169,166,87
779,F,23,BUSHMAN,168,166,89
780,F,23,BUSHMAN,179,179,99
781,F,23,BUSHMAN,178,177,95
782,F,23,BUSHMAN,172,171,94
783,F,23,BUSHMAN,165,164,96
784,F,23,BUSHMAN,167,167,92
785,F,23,BUSHMAN,173,171,92
786,F,23,BUSHMAN,184,183,99
787,F,23,BUSHMAN,172,171,88
788,F,23,BUSHMAN,174,172,89
789,F,23,BUSHMAN,177,176,97
